,material_id,energy_per_atom,Space Group,a,b,c,alpha,beta,gamma,C
0,C-130499-1826-36,-154.3118905,12,2.4805299999999995,5.090559999999999,4.89497,57.97520999999999,59.51109000000001,43.045589999999976,6.0
1,C-13904-4247-31,-154.332183,12,2.48986,4.656789999999999,5.94592,90.0329,77.93642,57.67567999999999,10.0
2,C-92138-4782-35,-154.178157,1,2.44168,4.798490000000001,5.95909,119.73601999999998,101.56104,75.51457,10.0
3,C-192672-505-73,-154.309339,1,2.47518,4.18933,11.18377,100.54005000000001,77.38712,89.87842,20.0
4,C-193956-5355-22,-154.14183549999998,2,3.395,4.81978,3.65211,112.26885,128.35152,77.7436,6.0
5,C-176661-8591-28,-154.19794285714286,8,4.1784,4.67784,4.67703,77.42149,89.78550000000001,90.21686,14.0
6,C-177252-751-44,-154.45401,12,2.4324600000000003,7.199860000000001,6.61497,48.50970999999999,89.98176000000001,90.01706000000001,12.0
7,C-170900-9651-22,-154.24175416666665,1,2.50566,4.7904,5.85223,80.64259,84.75947000000001,78.56324,12.0
8,C-130544-211-29,-154.230684,8,2.51187,4.11132,4.19172,119.40794000000001,107.68747,89.97151999999998,6.0
9,C-136247-3248-26,-154.31424083333334,40,2.42598,4.21658,4.21834,89.81438,90.09485000000001,90.02212,6.0
10,C-76016-983-23,-154.0695325,9,2.48323,5.01052,4.05185,113.84982,101.04279,85.59381,8.0
11,C-170888-2365-32,-154.112675,1,2.49384,6.33553,4.21185,49.57982000000001,106.80392999999998,92.38066,8.0
12,C-141037-8469-46,-154.30918283333332,12,2.48146,3.6887800000000004,4.83759,111.45597,104.85401,109.66536999999998,6.0
13,C-157689-1881-41,-154.12132333333332,2,3.1169299999999995,3.6486,4.81011,112.15257000000001,80.92832,119.47547,6.0
14,C-72730-1850-7,-154.42057016666666,12,2.4279699999999997,3.73386,4.81223,96.60006000000001,103.00715,87.8012,6.0
15,C-41262-9862-31,-154.147016,1,3.67304,4.8344,4.87821,112.53999,98.61853,112.08562,10.0
16,C-76050-9799-65,-154.17215625,10,2.47199,4.15251,5.79723,69.3463,64.87265,90.01300000000002,8.0
17,C-130538-6665-48,-154.27591214285715,1,2.44414,6.0603,7.21977,99.10146,99.736,66.12052000000001,14.0
18,C-47644-8979-61,-154.07433333333333,1,2.4298,5.360769999999999,7.45187,84.83628,70.92882,89.9215,12.0
19,C-41262-9862-12,-154.19843133333333,8,2.49028,3.5935500000000005,4.35454,84.29282,73.40105,69.70179,6.0
20,C-130532-5775-40,-154.2306565,71,2.51161,4.11307,4.19018,119.39621999999999,107.61574000000002,89.99932,6.0
21,C-176689-6597-36,-154.202455,12,3.63337,3.27351,3.27022,80.81783,75.45314,75.453,6.0
22,C-113078-2193-52,-154.08797875,2,2.45451,4.38792,5.17379,52.14460999999999,89.57145999999999,90.36451,8.0
23,C-152605-7685-1,-154.255816,1,2.43889,4.22919,6.52569,90.13684,100.68330000000002,90.00136000000002,10.0
24,C-142789-7601-3,-154.125035,74,2.50785,3.41812,9.62215,84.73246999999999,97.52798,68.46338000000002,12.0
