Absolute hardness in eV basic source database
type h0        h1        h2        h3        h4        h5        h6        h7        h8
--------------------------------------------------------------------------------------------
DATA_START
H    6.42175   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Li   2.38690  35.12410  23.40730   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Na   2.29569  21.07170  12.16920  13.64310   0.00000   0.00000   0.00000   0.00000   0.00000
K    1.91947  13.64560   7.08918   7.55040   0.00000   0.00000   0.00000   0.00000   0.00000
Rb   1.84536  11.55620   6.35850   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Cs   1.71115   9.63155   6.04084   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Be   4.66135   4.66135  67.84270   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Mg   3.82287   3.69487  32.55430   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Ca   3.05643   2.87920  19.52120   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Sr   2.84759   2.66725  15.92890   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Ba   2.60610   2.39571  13.65390   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Ra   2.63927   2.43406   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
B    4.01047   8.42877   6.38752 110.72200   0.00000   0.00000   0.00000   0.00000   0.00000
Al   2.77245   6.42172   4.80956  45.76980   0.00000   0.00000   0.00000   0.00000   0.00000
Ga   2.84670   7.25760   5.09768  16.67100   0.00000   0.00000   0.00000   0.00000   0.00000
In   2.74343   6.54195   4.57740  12.98650   0.00000   0.00000   0.00000   0.00000   0.00000
Tl   2.95486   7.15966   4.70021  10.43580   0.00000   0.00000   0.00000   0.00000   0.00000
C    4.83288   6.56112  11.75260   8.30285 163.79900   0.00000   0.00000   0.00000   0.00000
Si   3.38343   4.09701   8.57387   5.82422  60.81520   0.00000   0.00000   0.00000   0.00000
Ge   3.33212   4.01876   9.14443   5.74649  23.88450   0.00000   0.00000   0.00000   0.00000
Sn   3.11603   3.64409   7.93491   5.11634  18.27070   0.00000   0.00000   0.00000   0.00000
Pb   3.52645   3.80836   8.45209   5.18993  13.25080   0.00000   0.00000   0.00000   0.00000
N    7.23066   7.53330   8.92419  15.01220  10.20830 227.09100   0.00000   0.00000   0.00000
P    4.87019   4.63906   5.21946  10.62030   6.79017  77.69650   0.00000   0.00000   0.00000
As   4.50329   4.41001   4.85568  10.89290   6.24968  32.47660   0.00000   0.00000   0.00000
Sb   3.78712   3.94310   4.37944   9.43152   5.90765  25.91080   0.00000   0.00000   0.00000
Bi   3.17044   4.70021   4.43592   9.86682   5.33762  16.16830   0.00000   0.00000   0.00000
O    6.07815  10.74990   9.90931  11.23850  18.24270  12.11070 300.58300   0.00000   0.00000
S    4.14365   6.49013   5.72628   6.21340  12.68750   7.72918  96.44610   0.00000   0.00000
Se   3.86589   5.72110   4.81267   6.06467  12.67550   6.68498  36.84510   0.00000   0.00000
Te   3.51920   4.77121   4.70539   4.72612  10.66490   6.68498  33.06210   0.00000   0.00000
Po   3.25854   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
F    7.01145   8.77442  13.86850  12.21590  13.55130  21.46140  14.01200 384.36000   0.00000
Cl   4.67534   5.42468   5.42468   6.92647   7.89760  14.61370   8.58164 117.04400   0.00000
Br   4.22501   4.99093   1.90185  10.83070   6.21858  14.45820   8.58164  44.87740   0.00000
I    3.69591   4.34005   6.91351   0.00000   5.30000   0.00000   6.00000   0.00000   0.00000
At   3.36788   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
He  11.77540  15.43350   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Ne  10.78250   9.69892  11.24370  16.83680  14.54110  15.86260  24.67220  15.91180   0.00000
Ar   7.87998   5.93460   6.45282   9.63880   7.60222   7.99606  16.65540   9.57144   0.00000
Kr   7.00005   5.18008   6.29424   7.79914   6.06312   6.89226  16.27200   7.40011   0.00000
Xe   6.06519   4.53957   5.45681   8.00000   0.00000   6.00000   0.00000   0.00000   0.00000
Rn   5.37389   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Sc   3.18702   3.11914   5.97813  24.36650   9.08120   9.51443   0.00000   0.00000   0.00000
Y    2.95590   3.00565   4.14572  20.03940   8.20335   7.98052   0.00000   0.00000   0.00000
La   2.45375   4.23123   4.05918  12.16610  10.75300   0.00000   0.00000   0.00000   0.00000
Ti   3.37462   3.37358   6.95808   7.88775  28.01680  10.11600   0.00000   0.00000   0.00000
Zr   3.10411   3.26424   4.91268   5.67446  23.00360   9.05840   0.00000   0.00000   0.00000
Hf   3.41245   4.04985   4.19754  28.32560   0.00000   0.00000   0.00000   0.00000   0.00000
V    3.11085   3.95450   7.33793   8.69047   9.28486  31.42600   0.00000   0.00000   0.00000
Nb   2.93310   3.77209   5.36871   6.65388   6.09939  25.75530   0.00000   0.00000   0.00000
Ta   3.78297   3.82961   5.00000   6.00000   6.00000   0.00000   0.00000   0.00000   0.00000
Cr   3.05022   4.85930   7.23636   9.09986   9.09986  10.58660  34.77280   0.00000   0.00000
Mo   3.17355   4.53801   5.48272   5.48272   4.02653   7.17106  28.42000   0.00000   0.00000
W    3.58294   4.81940   4.50000   7.00000   3.80000   6.00000   0.00000   0.00000   0.00000
Mn   3.71716   4.10271   9.01176   8.76820   9.01176  11.55620  11.81530  37.67420   0.00000
Tc   3.36322   3.97989   7.15137   8.00000   0.00000   0.00000  10.00000   0.00000   0.00000
Re   3.86329   2.59108   6.47769   5.85583   6.50000   8.00000  10.00000   0.00000   0.00000
Fe   3.87003   4.14261   7.22962  12.09800  10.10520  12.02260  12.95540  13.05900  41.24990
Ru   3.15541   4.71472   5.84029  10.70000  11.00000  11.00000   0.00000   0.00000   0.00000
Os   3.80318   3.93844   5.70000   8.00000   9.50000  11.00000  12.00000  12.00000   0.00000
Co   3.61041   4.59968   8.20853   8.90294  14.09550  11.24530   0.00000   0.00000   0.00000
Rh   3.16111   5.28735  12.00000  11.20000   0.00000   0.00000   0.00000   0.00000   0.00000
Ir   3.77779   3.73115   6.46000   7.90000  10.00000   0.00000   0.00000   0.00000   0.00000
Ni   3.23936   5.26455   8.50909   9.87200  10.56640  15.86260   0.00000   0.00000   0.00000
Pd   3.89024   5.52210   6.77307   8.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Pt   3.44458   9.00000   8.00000   8.50000   9.00000   0.00000   0.00000   0.00000   0.00000
Cu   3.24973   6.28284   8.27642  10.26580  11.21420   0.00000   0.00000   0.00000   0.00000
Ag   3.13728   6.93890   6.69016   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Au   3.45805   5.64803   8.40000   8.40000   0.00000   0.00000   0.00000   0.00000   0.00000
Zn   4.69710   4.28512  10.88100   9.83573  11.60280   0.00000   0.00000   0.00000   0.00000
Cd   4.49707   3.95709  10.28450   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
Hg   5.21895   7.72141   7.72141   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
La   2.45375   4.23123   4.05918  12.16610  10.75300   0.00000   0.00000   0.00000   0.00000
Ce   2.51023   2.67192   4.65876   8.28108  14.39600   0.00000   0.00000   0.00000   0.00000
Pr   2.47189   2.55480   5.52417   8.68011   9.27605   0.00000   0.00000   0.00000   0.00000
Nd   2.50350   2.62683   5.64855   9.17241   0.00000   0.00000   0.00000   0.00000   0.00000
Pm   2.53925   2.64290   5.70037   9.43152   0.00000   0.00000   0.00000   0.00000   0.00000
Sm   2.56257   2.72322   6.16676   8.96512   0.00000   0.00000   0.00000   0.00000   0.00000
Eu   2.57605   2.78748   6.83526   8.89257   0.00000   0.00000   0.00000   0.00000   0.00000
Gd   2.81598   2.98803   4.24937  11.71170   0.00000   0.00000   0.00000   0.00000   0.00000
Tb   2.67295   2.82013   5.20288   8.93921   0.00000   0.00000   0.00000   0.00000   0.00000
Dy   2.71027   2.88646   5.54490   9.27605   0.00000   0.00000   0.00000   0.00000   0.00000
Ho   2.75172   2.89682   5.51381   9.82536   0.00000   0.00000   0.00000   0.00000   0.00000
Er   2.79473   2.90563   5.41017   9.98083   0.00000   0.00000   0.00000   0.00000   0.00000
Tm   2.83308   2.91911   5.82992   9.50925   0.00000   0.00000   0.00000   0.00000   0.00000
Yb   2.86780   2.96108   6.43727   9.25532   0.00000   0.00000   0.00000   0.00000   0.00000
U    0.00000   0.00000   0.00000   0.00000   0.00000   5.00000   0.00000   0.00000   0.00000
Hx   6.42172   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
