
an: atomic number
ty: type of ion
os: oxidation state
od: default oxidation state
mass: mass in u
n: period
g: group
b: block. 0 for s; 1 for p; 2 for d; 3 for f
rc: covalent radii in A
sf: softness

an  ty  os od   mass   n g b  rc    sf     
-------------------------------------------
DATA_START
  1 H    1  1   1.0079 1 1 0  0.370 0.00000
  1 H   -1  1   1.0079 1 1 0  1.140 0.25000
  1 Hx   1  1   1.0080 1 1 0  0.370 0.00000
  1 D    1  1   2.0141 1 1 0  0.370 0.00000
  1 D   -1  1   2.0141 1 1 0  1.140 0.25000
  3 Li   1  1   6.9410 2 1 1  1.310 0.02847
  4 Be   2  2   9.0122 2 2 1  0.910 0.01474
  5 B    3  3  10.8110 2 3 1  0.710 0.00903
  5 B    1  3  10.8110 2 3 1  0.710 0.00903
  6 C    4  4  12.0107 2 4 1  0.770 0.00611
  6 C    2  4  12.0107 2 4 1  0.770 0.08509
  7 N    5  5  14.0067 2 5 1  0.740 0.00440
  7 N    3  5  14.0067 2 5 1  0.740 0.06661
  7 N   -3  5  14.0067 2 5 1  1.390 0.16139
  8 O   -2 -2  15.9994 2 6 1  1.330 0.14752
  8 O    6 -2  15.9994 2 6 1  0.740 0.00333
  8 Ox  -2 -2  15.9994 2 6 1  1.330 0.14752
  9 F   -1 -1  18.9994 2 7 1  1.260 0.14262
 11 Na   1  1  22.9898 3 1 1  1.660 0.04746
 12 Mg   2  2  24.3050 3 2 1  1.360 0.03072
 13 Al   3  3  26.9815 3 3 1  1.110 0.02185
 14 Si   4  4  28.0855 3 4 1  1.170 0.01644
 15 P    5  5  30.9738 3 5 1  1.100 0.01287
 15 P    4  5  30.9738 3 5 1  1.100 0.14727
 15 P    3  5  30.9738 3 5 1  1.100 0.09416
 15 P   -3  5  30.9738 3 5 1  1.920 0.24020
 16 S   -2 -2  32.0660 3 6 1  1.840 0.22433
 16 S    6 -2  32.0660 3 6 1  1.040 0.01037
 16 S    4 -2  32.0660 3 6 1  1.040 0.07882
 17 Cl   7 -1  35.4527 3 7 1  0.990 0.00854
 17 Cl   5 -1  35.4527 3 7 1  0.990 0.07909
 17 Cl   3 -1  35.4527 3 7 1  0.990 0.14437
 17 Cl  -1 -1  35.4527 3 7 1  1.740 0.21389
 18 Ar   0  0  39.9480 3 8 1  0.970 0.99999
 19 K    1  1  39.0983 4 1 1  2.060 0.07328
 20 Ca   2  2  40.0780 4 2 1  1.660 0.05123
 21 Sc   3  3  44.9559 4 3 2  1.460 0.04104
 22 Ti   4  4  47.8670 4 4 2  1.260 0.03569
 22 Ti   3  4  47.8670 4 4 2  1.260 0.12678
 22 Ti   2  4  47.8670 4 4 2  1.260 0.14372
 23 V    5  5  50.9415 4 5 2  1.210 0.03182
 23 V    4  5  50.9415 4 5 2  1.210 0.10770
 23 V    3  5  50.9415 4 5 2  1.210 0.11507
 23 V    2  5  50.9415 4 5 2  1.210 0.13628
 24 Cr   6  6  51.9961 4 6 2  1.210 0.02876
 24 Cr   4  6  51.9961 4 6 2  1.210 0.09850
 24 Cr   3  6  51.9961 4 6 2  1.210 0.10989
 24 Cr   2  6  51.9961 4 6 2  1.210 0.13819
 24 Cr   5  6  51.9961 4 6 2  1.210 0.09446
 25 Mn   7  7  54.9380 4 7 2  1.260 0.02654
 25 Mn   6  7  54.9380 4 7 2  1.260 0.08464
 25 Mn   5  7  54.9380 4 7 2  1.260 0.08653
 25 Mn   4  7  54.9380 4 7 2  1.260 0.09413
 25 Mn   3  7  54.9380 4 7 2  1.260 0.11405
 25 Mn   2  7  54.9380 4 7 2  1.260 0.11097
 26 Fe   3  3  55.8450 4 8 2  1.260 0.08271
 26 Fe   2  3  55.8450 4 8 2  1.260 0.13832
 26 Fe   4  3  55.8450 4 8 2  1.260 0.04856
 27 Co   3  3  58.9332 4 8 2  1.210 0.11232
 27 Co   4  3  58.9332 4 8 2  1.210 0.07094
 27 Co   2  3  58.9332 4 8 2  1.210 0.12182
 27 Co   1  3  58.9332 4 8 2  1.210 0.21741
 28 Ni   2  2  58.6934 4 8 2  1.210 0.11752
 28 Ni   4  2  58.6934 4 8 2  1.210 0.09464
 28 Ni   3  2  58.6934 4 8 2  1.210 0.10130
 29 Cu   2  1  63.5460 4 1 2  1.210 0.12091
 29 Cu   3  1  63.5460 4 1 2  1.210 0.10890
 29 Cu   1  1  63.5460 4 1 2  1.210 0.15914
 30 Zn   2  2  65.3900 4 2 2  1.210 0.09190
 31 Ga   3  3  69.7230 4 3 1  1.160 0.05998
 31 Ga   1  3  69.7230 4 3 1  1.160 0.13779
 32 Ge   4  4  72.6100 4 4 1  1.220 0.04187
 32 Ge   2  4  72.6100 4 4 1  1.220 0.10936
 33 As   5  5  74.9216 4 5 1  1.210 0.03079
 33 As   3  5  74.9220 4 5 1  1.210 0.09180
 33 As  -3  5  74.9216 4 5 1  2.040 0.25805
 34 Se   6 -2  78.9600 4 6 1  1.170 0.02714
 34 Se   4 -2  78.9600 4 6 1  1.170 0.07889
 34 Se  -2 -2  78.9600 4 6 1  1.910 0.24167
 35 Br   7 -1  79.9040 4 7 1  1.140 0.02228
 35 Br   5 -1  79.9040 4 7 1  1.140 0.06916
 35 Br  -1 -1  79.9040 4 7 1  1.890 0.23669
 36 Kr   0  0  83.8000 4 8 1  1.100 0.99999
 37 Rb   1  1  85.4678 5 1 1  2.210 0.08653
 38 Sr   2  2  87.6200 5 2 1  1.860 0.06278
 39 Y    3  3  88.9059 5 3 2  1.660 0.04990
 40 Zr   4  4  91.2240 5 4 2  1.410 0.04347
 40 Zr   3  4  91.2240 5 4 2  1.410 0.17623
 40 Zr   2  4  91.2240 5 4 2  1.410 0.20355
 41 Nb   5  5  92.9064 5 5 2  1.310 0.03883
 41 Nb   4  5  92.9064 5 5 2  1.310 0.16395
 41 Nb   3  5  92.9064 5 5 2  1.310 0.15029
 41 Nb   2  5  92.9064 5 5 2  1.310 0.18626
 42 Mo   6  3  95.9400 5 6 2  1.310 0.03519
 42 Mo   5  3  95.9400 5 6 2  1.310 0.13945
 42 Mo   4  3  95.9400 5 6 2  1.310 0.24835
 42 Mo   3  3  95.9400 5 6 2  1.310 0.10364
 42 Mo   2  3  95.9400 5 6 2  1.310 0.18239
 43 Tc   7  7  98.0000 5 7 2  1.210 0.02969
 43 Tc   4  7  98.0000 5 7 2  1.210 0.12061
 44 Ru   6  6 101.0700 5 8 2  1.160 0.10721
 44 Ru   5  6 101.0700 5 8 2  1.160 0.11351
 44 Ru   4  6 101.0700 5 8 2  1.160 0.12061
 44 Ru   3  6 101.0700 5 8 2  1.160 0.11008
 45 Rh   4  4 102.9060 5 8 2  1.210 0.09189
 45 Rh   3  4 102.9060 5 8 2  1.210 0.13754
 46 Pd   2  2 106.4200 5 8 2  1.260 0.14821
 46 Pd   4  2 106.4200 5 8 2  1.260 0.12061
 47 Ag   1  1 107.8680 5 1 2  1.460 0.14379
 47 Ag   3  1 107.8680 5 1 2  1.460 0.11774
 47 Ag   2  1 107.8680 5 1 2  1.460 0.14982
 48 Cd   2  2 112.4110 5 2 2  1.410 0.09723
 49 In   3  3 114.8180 5 3 1  1.410 0.07700
 49 In   1  3 114.8180 5 3 1  1.410 0.15286
 50 Sn   4  4 118.7100 5 4 1  1.400 0.05473
 50 Sn   2  4 118.7000 5 4 1  1.400 0.12603
 51 Sb   5  5 121.7600 5 5 1  1.410 0.03859
 51 Sb   3  5 121.7600 5 5 1  1.410 0.10603
 51 Sb  -3  5 121.7600 5 5 1  2.310 0.29820
 52 Te   6 -2 127.6000 5 6 1  1.370 0.03025
 52 Te   4 -2 127.6000 5 6 1  1.370 0.09377
 52 Te   2 -2 127.6000 5 6 1  1.370 0.21252
 52 Te  -2 -2 127.6000 5 6 1  2.140 0.26716
 53 I    7 -1 126.9040 5 7 1  1.330 0.02506
 53 I    5 -1 126.9040 5 7 1  1.330 0.08040
 53 I   -1 -1 126.9040 5 7 1  2.130 0.27057
 54 Xe   6  0 131.2900 5 8 1  1.300 0.07147
 54 Xe   4  0 131.2900 5 8 1  1.300 0.16081
 54 Xe   2  0 131.2900 5 8 1  1.300 0.18361
 55 Cs   1  1 132.9050 6 1 1  2.460 0.10383
 56 Ba   2  2 137.3270 6 2 1  2.010 0.07324
 57 La   3  3 138.9060 6 0 3  1.810 0.06500
 58 Ce   4  4 140.1160 6 0 3  1.710 0.06946
 58 Ce   3  4 140.1160 6 0 3  1.710 0.12076
 59 Pr   3  3 140.9080 6 0 3  1.710 0.11521
 60 Nd   3  3 144.2400 6 0 3  1.710 0.10902
 62 Sm   3  3 150.3600 6 0 3  1.710 0.11154
 63 Eu   3  3 151.9640 6 0 3  1.710 0.11245
 63 Eu   2  3 151.9640 6 0 3  1.710 0.14630
